2024-05-10 19:30:51.026 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:30:51.053 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:30:51.053 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:30:51.330 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:30:51.330 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:30:52.395 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:30:52.395 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:30:52.420 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:30:52.420 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:30:52.547 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:30:52.547 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:30:53.891 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:30:53.891 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:30:54.031 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:30:54.031 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:30:57.818 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:30:57.818 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:31:26.390 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:31:26.390 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:31:26.412 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:31:26.412 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:31:26.506 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:31:26.506 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:31:27.528 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:31:27.528 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:31:27.548 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:31:27.548 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:31:27.653 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:31:27.653 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:31:28.871 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:31:28.871 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:31:29.091 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:31:29.091 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:31:31.235 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:31:31.235 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:01.721 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:01.721 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:01.742 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:01.742 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:01.778 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:01.778 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:01.800 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:01.800 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:03.467 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:03.467 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:03.486 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:03.486 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:03.506 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:03.506 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:03.627 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:03.627 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:05.067 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:05.067 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:05.087 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:05.087 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:05.193 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:05.193 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:06.940 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:06.940 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:07.084 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:07.084 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:10.021 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
